title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,like
We R Who We R,Kesha,dance pop,2010,120,82,74,-5,12,65,205,1,4,71,1
Chasing The Sun,The Wanted,boy band,2012,128,73,64,-6,50,68,199,24,10,64,1
Geri Dön,Sezen Aksu,turkish pop,1984,136,49,42,-7,28,32,259,77,4,52,0
Just Dance,Lady Gaga,dance pop,2008,119,74,82,-5,18,75,242,3,3,73,1
Tutamıyorum Zamanı,Kenan Doğulu,turkish pop,2001,145,64,70,-9,8,79,238,20,3,55,1
Ah Bu Şarkıların Gözü Kör Olsun,Cem Adrian,turkish pop,2019,94,31,52,-10,13,40,219,90,3,49,0
Torn,Ava Max,dance pop,2019,125,83,66,-4,6,70,198,11,4,75,0
Bir Derdim Var,mor ve ötesi,turkish alternative,2004,119,89,59,-2,11,43,204,1,4,63,0
Somewhere Only We Know,Keane,modern rock,2004,172,67,45,-4,8,30,237,6,3,77,1
You're Nobody 'Til Somebody Loves You,Russ Morgan and His Orchestra,,1966,85,23,34,-12,17,30,197,90,3,15,0
Physical,Dua Lipa,dance pop,2020,147,84,65,-4,10,75,194,1,5,88,0
Affection,Cigarettes After Sex,ambient pop,2015,90,42,40,-11,11,25,311,50,3,61,0
John Wayne,Cigarettes After Sex,ambient pop,2017,124,47,44,-8,10,17,258,34,3,57,1
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,ambient pop,2012,97,33,51,-14,11,10,286,26,3,67,1
Apocalypse,Cigarettes After Sex,ambient pop,2017,94,47,37,-9,11,18,291,2,3,71,1
Gone,JR JR,chamber pop,2015,130,89,62,-4,21,42,228,5,5,36,1
Winterbreak,MUNA,art pop,2016,97,67,55,-7,9,46,297,23,5,40,1
Hero,Family of the Year,stomp and holler,2012,175,54,34,-6,11,27,190,21,3,63,0
Beggin For Thread,BANKS,alternative r&b,2014,108,70,60,-6,26,40,250,0,3,59,0
Bloom (Online Bonus Track),The Paper Kites,australian indie folk,2011,96,42,58,-10,12,43,210,89,2,61,0
All the Pretty Girls,KALEO,icelandic indie,2015,75,50,47,-7,12,35,270,63,3,49,1
Expectations,Belle & Sebastian,alternative rock,1996,119,38,51,-13,12,46,214,56,3,42,1
1234,Feist,art pop,2007,110,48,71,-7,9,58,184,22,5,63,1
Jesus,Wilco,alternative country,2002,109,28,76,-14,41,70,231,62,3,66,0
Chicago,Sufjan Stevens,baroque pop,2005,125,46,58,-10,9,45,365,59,3,63,0
Break My Heart,Dua Lipa,dance pop,2020,113,73,73,-3,35,47,222,17,9,90,0
Son Öpücük,Aslı Güngör,arabesk,2009,152,74,62,-8,9,56,255,31,6,38,1
Daha Mutlu Olamam,mor ve ötesi,turkish alternative,2001,136,70,49,-7,7,56,220,1,3,69,0
Acının İlacı,Adamlar,turkish rock,2016,78,53,60,-9,12,54,287,10,2,67,1
Sordid Affair,Röyksopp,alternative dance,2014,128,49,58,-10,11,29,380,0,3,41,1
Feel Your Weight - Poolside Remix,Rhye,downtempo,2018,112,59,74,-9,12,82,310,67,3,63,0
If We Ever Meet Again (Featuring Katy Perry),Timbaland,dance pop,2009,126,61,65,-7,6,39,293,0,4,63,0
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,dance pop,2009,113,93,75,-5,23,77,190,1,7,69,1
Say It Ain't So,Weezer,alternative rock,1994,152,55,63,-7,7,45,259,1,4,73,0
Burning Desire,Lana Del Rey,art pop,2012,132,64,48,-11,13,16,231,84,13,55,1
Hoşçakal,Şebnem Ferah,turkish pop,2005,150,52,48,-4,9,35,286,18,3,49,0
Yağmurlar,Şebnem Ferah,turkish pop,1996,125,49,50,-9,37,7,307,9,3,56,0
Baby Boy (feat. Beyoncé ),Sean Paul,dance pop,2002,91,62,66,-6,14,82,247,7,23,59,1
Say My Name,Destiny's Child,dance pop,1999,138,68,71,-4,15,73,271,27,10,76,1
Crazy In Love (feat. Jay-Z),Beyoncé,dance pop,2003,99,76,66,-7,6,70,236,0,21,70,0
LoveGame,Lady Gaga,dance pop,2008,105,68,89,-6,32,84,216,1,5,62,0
In Da Club,50 Cent,east coast hip hop,2003,90,71,90,-3,7,78,193,26,37,77,1
Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2004,105,79,89,-5,4,58,250,2,11,79,0
Candyman,Christina Aguilera,dance pop,2006,173,79,69,-5,14,72,194,1,23,65,0
Womanizer,Britney Spears,dance pop,2008,139,70,72,-5,9,24,224,7,6,75,1
Whenever Wherever,Shakira,colombian pop,2001,108,83,79,-5,20,87,196,24,4,75,0
Beautiful Liar,Beyoncé,dance pop,2007,92,75,77,-4,16,40,200,1,8,54,1
Candy Shop,50 Cent,east coast hip hop,2005,125,57,61,-8,38,76,209,3,47,78,1
Hips Don't Lie (feat. Wyclef Jean),Shakira,colombian pop,2005,100,82,78,-6,41,76,218,28,7,82,1
Oops!...I Did It Again,Britney Spears,dance pop,2000,95,83,75,-5,36,89,211,30,4,77,0
